Price,Close,High,Low,Open,Volume
01-01-2015,96.31427001953125,96.97095377075797,93.43214068127881,93.43214068127881,162194
02-01-2015,96.56964111328125,98.50321835343435,95.58460447629555,96.13184457825908,146744
05-01-2015,95.94943237304688,98.94101608679861,95.40219226445537,95.69404920225277,193462
06-01-2015,93.50508880615234,96.02240221360633,92.66599175942002,95.00088066364033,122439
07-01-2015,90.03924560546875,94.67254435049216,89.1271787,93.10378816696694,155010
08-01-2015,93.24971771240234,94.12529966864071,91.24317062644295,91.24317062644295,73879
09-01-2015,94.05233001708984,94.85495330620923,91.79041088765743,94.12529981923839,77041
12-01-2015,91.09725189208984,93.90641717096543,90.51353234548006,93.24973337688132,135737
13-01-2015,92.66599274,93.65102939652536,87.85028084180928,91.42558403714379,423694
14-01-2015,92.19171142578125,93.90639590376779,91.20668039092209,92.22819632466322,58168
15-01-2015,92.52005767822266,93.24971111238273,90.54999006590211,92.33764431968264,89035
16-01-2015,91.89984893798828,92.66598728002114,90.54999118,92.26467565956317,85390
19-01-2015,94.19825744628906,94.78197125351797,92.30115417191347,92.30115417191347,363489
20-01-2015,94.78199005126953,95.43868491508266,93.46862259,94.49013309,313920
21-01-2015,95.65756989,96.46018198444395,93.43212467937502,94.85494665243598,121638
22-01-2015,96.49666595458984,97.22631938335802,94.85494573986148,95.21977245424556,105823
23-01-2015,95.62109375,99.56121821089931,95.03736872114817,97.77356935611405,151909
27-01-2015,93.61453247070312,97.44521278076456,92.52005238211414,96.31424779583051,140507
28-01-2015,91.64448547363281,95.21978900957762,91.06076596921856,93.03082834269078,172512
29-01-2015,91.02426147460938,92.62949672479085,89.60143957407641,92.62949672479085,107678
30-01-2015,89.89331055,92.33765426811527,89.30959107674552,91.42558737714936,178159
02-02-2015,89.96626281738281,91.09722220167042,89.01771120892302,89.74736457948795,166571
03-02-2015,88.10566711425781,90.91483219874075,87.48546270342105,90.03925015600824,136609
04-02-2015,89.89331055,91.06076062076299,88.28807504550079,89.0906928,75690
05-02-2015,89.92979431152344,91.02427457,89.38255418,90.87834609285352,42660
06-02-2015,88.36103820800781,90.47703448,87.92324721903526,90.47703448,41890
09-02-2015,87.59490203857422,88.65289735226652,86.46393692,87.92324387611617,58313
10-02-2015,86.31800079345703,88.72585371093611,85.91668919047031,87.63137359386005,68557
11-02-2015,86.46394348144531,87.12063277314833,84.31146779027866,86.09911671570082,112433
12-02-2015,87.70435333251953,88.57994092111997,85.18705084477457,86.46394454052066,289112
13-02-2015,87.15709686279297,89.60144022,86.17206588096232,88.61640367048687,70398
16-02-2015,87.12062072753906,88.65289181844572,86.24503327072534,86.86524314019027,51734
18-02-2015,87.70435333251953,88.94476769133314,86.90173555141351,87.52193994741295,87106
19-02-2015,88.10566711425781,89.34607593593137,86.68284490311376,88.43400899,108298
20-02-2015,87.59490203857422,89.67441333223984,87.23007530049905,89.01772409034169,74491
23-02-2015,85.98965454101562,88.72585486943242,85.36945024660392,87.92323721979292,75197
24-02-2015,86.06262969970703,87.0476664,85.36946108853449,85.47891022893398,60630
25-02-2015,85.88021087646484,86.90172684407123,85.36945567606874,86.90172684407123,52160
26-02-2015,85.18704223632812,86.09910906969353,83.87366376955629,85.91669570302045,61704
27-02-2015,86.09909821,86.64633823653399,84.63979145631953,85.25999571138675,99116
02-03-2015,84.74925231933594,86.09911013607254,84.31146134726113,85.95318166765234,55746
03-03-2015,88.61640167236328,89.01771326215581,84.20200201871337,84.20200201871337,397908
04-03-2015,89.71089935302734,96.20482245500081,89.01773072574127,91.86338060820577,778494
05-03-2015,88.68937683105469,90.62295397119857,88.06916696079008,90.47702551161507,134071
09-03-2015,85.66130828857422,88.28805935434917,85.33296092609389,88.17861023352239,91955
10-03-2015,85.11407470703125,86.20855486468666,84.71276308916536,86.02614150507742,129141
11-03-2015,84.96813965,86.46393140581212,83.91014440226493,85.36945126143475,986636
12-03-2015,83.21697998046875,85.36945547731645,82.45084161,85.07759297770637,459341
13-03-2015,83.39940643310547,85.36946887267189,82.30492606294301,83.91016171245528,348715
16-03-2015,83.50882720947266,85.00461886690323,82.30490358455101,85.00461886690323,171480
17-03-2015,85.88021087646484,86.82876261070238,83.54532200777666,83.91014874143508,547063
18-03-2015,84.82221984863281,87.08414459790013,84.20201548353258,86.17207771780731,108056
19-03-2015,86.17207336425781,86.97469106,84.82221556328027,86.09910913089955,88408
20-03-2015,85.55186462402344,87.33951329988942,84.16552199436518,84.16552199436518,120066
23-03-2015,84.49386596679688,86.82875462062606,82.92511004,86.82875462062606,74249
24-03-2015,84.78573608398438,85.36946112179942,83.94663899649524,84.63980760793788,70266
25-03-2015,83.61829376220703,85.04112149153983,82.45084922285695,84.71277406,112269
26-03-2015,81.79416656,83.83719884964474,80.99154872695621,81.90361571712464,253070
27-03-2015,81.72118377685547,83.18049063001361,80.99153035,81.90359713350024,108093
30-03-2015,83.87365723,85.36944894332053,82.01304437173222,83.10752448639018,251665
31-03-2015,81.83063507080078,84.42090146364956,80.26187904875772,83.61828378652478,2612023
01-04-2015,83.76422882080078,84.93167337425422,82.08602344802635,82.77919208597268,108373
06-04-2015,83.61829376220703,83.91015628874823,82.08602245638413,83.91015628874823,101245
07-04-2015,85.07759094238281,86.13559178230683,82.41435474322695,83.36290645256379,181909
08-04-2015,85.22351074,87.99619004,84.38440830354422,85.36943918072846,131383
09-04-2015,86.02613830566406,87.55840935603187,85.04110731377146,85.47889824718887,111527
10-04-2015,85.98965454101562,87.52192561156626,85.51537870406062,86.24503212497176,112855
13-04-2015,85.47891235351562,87.41249532591743,84.4938812,87.15711213636622,136410
15-04-2015,83.18050384521484,85.66132700308421,83.03457536344037,85.36946447272051,528457
16-04-2015,81.86712646484375,83.76423015713769,81.50229968814335,83.76423015713769,359676
17-04-2015,81.42932891845703,83.18049841960098,80.99153793487464,82.15898241,128706
20-04-2015,79.82409668,81.64823049061813,79.60519839564998,81.64823049061813,90869
21-04-2015,79.27685547,81.72119362911508,78.80257957093241,80.11595812384043,122352
22-04-2015,78.25534057617188,80.07947438913625,78.07292719487543,79.20389238563921,80964
23-04-2015,78.80258178710938,79.53223532,78.25534164,78.80258178710938,45978
24-04-2015,78.29181671142578,79.49574043970576,77.81754085980525,79.20388351576757,45509
27-04-2015,77.27030181884766,78.72960872546682,75.88395914419662,78.69312383,47888
28-04-2015,76.61361694335938,78.43775068010602,76.21230529454935,77.37975533951872,49618
29-04-2015,74.97190094,77.30679003202636,74.49762502744503,76.17583038956619,82281
30-04-2015,73.73148345947266,75.73803044997295,72.63700328283613,74.46113691056368,133966
04-05-2015,71.50605010986328,74.35170015616983,70.92232502509759,74.35170015616983,297073
05-05-2015,74.13278961,75.15430556,71.57900252974822,72.01679349,178929
06-05-2015,70.88584137,75.51914015978929,70.41156546299194,74.05983310356147,129798
07-05-2015,70.59397125,71.65196652769036,70.04673116521317,70.52100702084044,79453
08-05-2015,70.08321380615234,72.89237838337566,69.90080044962077,72.67348012881223,178325
11-05-2015,70.77639008,71.54252848364101,69.93728743049559,70.84935431291419,166244
12-05-2015,71.39659881591797,71.98032388,70.26563915252821,71.50604796187564,87911
13-05-2015,71.28714752197266,71.87087257161518,70.77639227864643,71.50604580729227,57925
14-05-2015,72.12625122070312,72.70997628,70.44805142100084,71.28714853744462,66841
15-05-2015,73.91389465332031,74.24223647,72.16272530872527,72.52755202356533,94094
18-05-2015,73.62203979492188,74.86244852715198,72.70997291333664,74.71652005282414,369979
19-05-2015,73.91389465332031,74.64354808300041,72.96534296801062,73.65851149948116,245936
20-05-2015,73.95037841796875,74.57058276,73.62203658165448,74.42465428905598,27248
21-05-2015,73.40312957763672,75.44616128681541,71.94382280445582,75.15429881881651,44887
22-05-2015,73.03829956054688,74.20574381260136,72.81940689461915,74.20574381260136,37907
25-05-2015,73.14776611328125,73.87741964059578,72.49107682533524,73.87741964059578,21506
26-05-2015,73.07479095458984,74.13278618437734,72.74644357627338,73.69499525,41030
27-05-2015,73.73148345947266,73.95037615471153,71.28713994486652,73.14775847187423,269871
28-05-2015,74.09632110595703,75.00838805,73.03832010584955,74.35169873811577,363497
29-05-2015,72.52755737304688,76.24878902552294,71.50604138278706,75.88396228377403,602873
01-06-2015,72.85590362548828,73.69500629568324,72.67349024356827,72.96535276800321,296803
02-06-2015,71.94383239746094,73.62203763711663,71.83438326,73.62203763711663,353618
03-06-2015,70.88584137,73.03831705083908,70.19266717783192,71.87087251921976,93619
04-06-2015,70.77639008,71.46955867959595,69.42653220306696,70.95880345216732,63441
05-06-2015,70.33859252929688,71.79789940514613,69.35356150146141,69.35356150146141,32519
08-06-2015,72.27217864990234,73.40313819175147,70.04673333291225,71.50604027734794,172406
09-06-2015,71.90735626220703,72.81942315763425,71.25066698413653,72.08976964129248,47852
10-06-2015,72.41809844970703,75.15429864,71.25065414725582,72.81941003811848,177402
11-06-2015,72.52755737304688,73.5855527,71.76141898864843,72.89238411479579,58705
12-06-2015,71.98031616210938,72.96534723643845,71.50604029170968,72.96534723643845,32283
15-06-2015,72.63700103759766,74.05982299651953,71.94382694039905,72.96534285371382,39034
16-06-2015,72.56403350830078,73.65851368529967,72.05327832,73.65851368529967,28479
17-06-2015,72.92887115478516,73.87742301028514,72.30866674164203,72.63701418,42419
18-06-2015,72.23568725585938,73.33016736579664,72.08975880125989,73.29368247,33235
19-06-2015,71.21417999267578,73.11127796615409,70.99528728428272,72.67348698255361,66349
22-06-2015,71.76141357421875,72.38161787503435,70.77638255918055,71.8708627,50578
23-06-2015,71.87085723876953,72.30864815,71.72492879089843,71.87085723876953,38014
24-06-2015,71.21417999267578,72.19921109748044,71.06825152041374,72.12624686134943,59310
25-06-2015,71.25066375732422,72.08976637647874,69.90080592658745,72.08976637647874,67260
26-06-2015,70.26563262939453,71.57900555851472,70.01024945693028,71.43307708866169,54346
29-06-2015,68.98873901367188,70.41156107816292,68.47797823571061,70.04673434,70083
30-06-2015,68.22259521484375,69.60893783524612,67.89425340042833,68.84279951,100977
01-07-2015,70.88584137,71.50604576,68.22260487865023,68.73336012160411,124685
02-07-2015,70.52101135253906,71.43307822060912,70.04673546777977,70.95880233584981,54297
03-07-2015,70.41155242919922,72.45458415646101,70.04672573267487,71.06824159630577,159184
06-07-2015,69.31707763671875,70.63045607129798,69.17114917368285,70.04673108552632,80891
07-07-2015,69.53598785,70.63046821539862,68.87929852380408,70.01025822382296,71986
08-07-2015,68.73335266113281,70.19265956,68.44149573501775,69.28059274781958,89532
09-07-2015,68.62390899658203,69.39004177673125,68.55093919834627,68.76983745942549,44456
10-07-2015,69.28060150146484,70.04673994635398,67.85777932303041,69.31708640524613,55689
13-07-2015,68.29555511,70.30210190563604,67.96721332114404,69.31707096,108439
14-07-2015,67.93073272705078,69.24411111825263,67.74831937087352,68.58742192,116036
15-07-2015,68.84281158447266,69.68191428344782,68.18612227367406,68.47798480811953,128672
16-07-2015,66.87274169921875,69.17115124515601,66.76329256525712,69.17115124515601,302834
17-07-2015,67.85778809,68.87930428876632,67.2010987,67.49296126827116,143254
20-07-2015,68.91576385498047,69.71838707698504,68.22259532704618,68.33204445430262,206585
21-07-2015,67.96723175048828,70.04674332972654,67.71185411212832,69.46301824191949,82445
22-07-2015,68.47797393798828,68.87928555499882,67.96721875889664,67.96721875889664,65311
23-07-2015,68.55092621,69.28057951807801,68.11313533610954,68.29554866350502,86463
