Date,GMDCLTD.NS,COALINDIA.NS,NMDC.NS
16-06-2015,72.56403351,175.1540375,14.30472469
17-06-2015,72.92887115,175.4845581,14.22032928
18-06-2015,72.23568726,173.9197388,14.18416405
19-06-2015,71.21417999,173.5230103,14.36500549
22-06-2015,71.76141357,176.1899261,14.41925621
23-06-2015,71.87085724,183.1105804,14.29266834
24-06-2015,71.21417999,181.7440643,14.19019032
25-06-2015,71.25066376,181.3252716,14.20224476
26-06-2015,70.26563263,181.3473206,14.22635746
29-06-2015,68.98873901,179.7163544,14.17813206
30-06-2015,68.22259521,185.6892548,14.31075573
01-07-2015,70.88584137,187.5626526,14.25047302
02-07-2015,70.52101135,186.9234772,14.18416405
03-07-2015,70.41155243,184.0362244,14.19621658
06-07-2015,69.31707764,185.0280457,13.93098259
07-07-2015,69.53598785,189.0614166,13.94303703
08-07-2015,68.73335266,183.881958,13.58737373
09-07-2015,68.623909,183.881958,13.73808289
10-07-2015,69.2806015,185.1161804,13.76822186
13-07-2015,68.29555511,185.1161804,13.87070179
14-07-2015,67.93073273,191.3756561,13.85261536
15-07-2015,68.84281158,192.4776764,13.85261536
16-07-2015,66.8727417,193.2049561,13.67779827
17-07-2015,67.85778809,189.6123962,13.70794106
20-07-2015,68.91576385,187.5406494,13.70191479
21-07-2015,67.96723175,188.9512177,13.70191479
22-07-2015,68.47797394,190.5821991,13.80439091
23-07-2015,68.55092621,190.2075195,13.80439091
24-07-2015,67.93073273,187.8051453,13.67779827
27-07-2015,67.16460419,186.7251434,13.34022522
28-07-2015,66.25254822,185.5129547,12.68918705
29-07-2015,65.55934906,185.2043915,12.59876537
30-07-2015,65.55934906,185.2925262,12.33352757
31-07-2015,66.47143555,193.5355682,12.28530407
03-08-2015,65.99715424,190.2957153,12.19488239
04-08-2015,66.14308929,195.4530945,12.26119041
05-08-2015,65.66880798,193.2931671,12.26721859
06-08-2015,65.81474304,190.1634064,12.3757267
07-08-2015,66.033638,182.8020325,12.53848457
10-08-2015,65.26750183,179.8265381,12.58670807
11-08-2015,63.37038803,173.1042938,12.41189575
12-08-2015,59.61268616,163.7151031,12.03815365
13-08-2015,57.60614395,166.2056732,11.70057678
14-08-2015,59.97751236,166.4260406,11.72468948
17-08-2015,61.40032959,167.4399261,11.94169998
18-08-2015,63.22448349,160.5192871,11.5016489
19-08-2015,61.8746109,156.7724304,11.56795979
20-08-2015,60.01399231,154.215744,11.3208065
21-08-2015,59.43027115,153.6867676,11.21832943
24-08-2015,54.28621674,148.3750763,11.25449753
25-08-2015,52.93636322,155.8687744,11.20627022
26-08-2015,53.59304428,157.8744354,11.13393593
27-08-2015,55.01588058,159.5053864,11.66440678
28-08-2015,54.90642166,157.6099548,12.05623436
31-08-2015,54.65104675,161.4890442,12.17679691
01-09-2015,53.00933075,156.353653,12.02006912
02-09-2015,52.93636322,151.7913361,12.06226444
03-09-2015,52.93636322,152.210083,12.3998394
04-09-2015,53.55656815,153.1798706,11.84525299
07-09-2015,53.11877823,148.7497559,11.31477928
08-09-2015,52.68097687,148.7056732,11.52576256
09-09-2015,54.65104675,149.4110107,12.56259537
10-09-2015,54.43214417,149.1464844,12.19488239
11-09-2015,54.68752289,147.1628723,12.08034706
14-09-2015,55.23477173,149.5652466,12.41792202
15-09-2015,54.35918045,149.0142365,12.24913692
16-09-2015,54.46863556,148.7497559,12.09842873
18-09-2015,54.39567184,151.3505402,12.42997837
21-09-2015,55.4536705,150.8435822,12.71695995
22-09-2015,55.5631218,142.6446075,12.54535675
23-09-2015,56.20874786,144.4960022,12.04280758
24-09-2015,55.67704773,140.3524323,11.61380005
28-09-2015,54.53768921,136.142746,11.45445728
29-09-2015,54.00597763,139.030014,11.19092178
30-09-2015,54.38576508,144.4078522,11.41155529
01-10-2015,53.39832306,144.7384491,11.50961494
05-10-2015,54.65161514,145.3555756,11.66896057
06-10-2015,55.03139877,151.0639648,11.65057278
07-10-2015,54.53768921,152.6288757,11.74250221
08-10-2015,55.06938553,152.6068268,11.71185875
09-10-2015,55.10736465,148.0444641,11.78540325
12-10-2015,57.68992615,147.405304,12.14699459
13-10-2015,57.68992615,150.0281067,12.14699459
14-10-2015,57.57600021,147.5596161,12.0795784
15-10-2015,57.04428864,150.490921,12.3247261
16-10-2015,58.90525818,149.2566986,12.90694618
19-10-2015,57.84184647,148.9040375,12.71695995
20-10-2015,58.29758835,147.6477509,12.45955467
21-10-2015,57.46205902,148.6616058,12.40439606
23-10-2015,58.10769653,150.7113647,12.31859589
26-10-2015,57.19620132,146.9645233,11.97539139
27-10-2015,56.28471375,146.479599,12.04893589
28-10-2015,56.58853912,145.5539398,12.33698273
29-10-2015,55.90491486,141.85112,12.45955467
30-10-2015,55.63907242,141.0136414,12.28795433
02-11-2015,55.41119766,143.2617035,11.75475883
03-11-2015,55.41119766,143.6364136,11.62605762
04-11-2015,55.75301361,145.6641388,11.60767078
05-11-2015,55.33523941,148.5955048,11.52187157
06-11-2015,54.2718277,150.8435822,11.36252403
09-11-2015,55.98086929,149.6974945,11.39316845
10-11-2015,56.70248413,143.7245941,11.12350941
13-11-2015,57.34811783,148.8600159,11.1725378
16-11-2015,56.81641006,145.7963409,11.19092178
17-11-2015,56.96833038,146.5016632,11.46058178
18-11-2015,57.80387115,147.6918335,11.23382092
19-11-2015,59.36100388,147.096756,11.27059746
20-11-2015,62.36132813,146.9203949,11.25221157
23-11-2015,65.01985931,146.4355774,11.32575226
24-11-2015,66.50104523,146.5236664,11.25833797
26-11-2015,68.02018738,148.0224152,11.20930958
27-11-2015,65.7794342,148.3309784,11.3686552
30-11-2015,66.12123871,145.7081909,11.65057278
01-12-2015,68.70379639,150.5570679,11.69347286
02-12-2015,68.13411713,149.1464844,11.54025555
03-12-2015,67.67837524,147.581604,11.31349659
04-12-2015,66.38709259,147.7799835,11.24608326
07-12-2015,66.12123871,144.385788,11.04996586
08-12-2015,64.18431854,140.1761017,10.8293314
09-12-2015,60.84216309,135.5917358,10.65159988
10-12-2015,62.28536606,137.0684357,10.84771919
11-12-2015,60.53834152,135.6578217,10.7741766
14-12-2015,63.23484421,139.360611,10.78030396
15-12-2015,63.88048553,138.6552887,10.90900707
16-12-2015,62.55122757,139.6471405,10.89061832
17-12-2015,65.93135071,139.3165283,11.31962776
18-12-2015,64.90591431,139.4488068,11.06835079
21-12-2015,64.94390106,140.7491455,11.17866611
22-12-2015,64.64006805,140.6609802,10.90287685
23-12-2015,64.14633942,142.1597137,11.01932049
24-12-2015,63.69059372,142.071579,11.14802361
28-12-2015,64.03240204,143.482132,11.17866611
29-12-2015,64.41218567,141.8291321,11.14802361
30-12-2015,64.67804718,141.9833984,11.05609226
31-12-2015,64.37420654,145.377594,11.01319218
01-01-2016,65.24772644,147.2510529,11.18479729
04-01-2016,65.47559357,145.5539398,11.02544975
05-01-2016,65.17176819,143.6143646,11.42994213
06-01-2016,65.28570557,144.5401154,11.10512352
07-01-2016,63.12090683,143.8788452,10.79256153
08-01-2016,61.29791641,141.5425873,10.92739201
11-01-2016,63.19686127,139.2724762,10.78030396
12-01-2016,62.36132813,139.2945099,10.99480438
13-01-2016,59.28503799,139.8675537,10.81707478
14-01-2016,56.28471375,140.4626312,10.70675945
15-01-2016,53.17044449,140.4185486,10.54128551
18-01-2016,51.42340851,137.0243073,10.36355591
19-01-2016,50.01819229,136.142746,10.23485565
20-01-2016,47.73945999,131.4260864,9.903905869
21-01-2016,46.33423996,127.040123,9.395228386
22-01-2016,46.56211472,131.999176,9.842617989
25-01-2016,46.67605591,134.4015503,9.885518074
27-01-2016,46.18232727,134.0268555,9.818104744
28-01-2016,47.09382248,135.1509552,9.64037323
29-01-2016,47.09382248,141.035675,9.897778511
01-02-2016,46.82796478,144.8266144,9.848747253
02-02-2016,46.14434433,140.5948639,9.671015739
03-02-2016,46.78998566,139.8455048,9.51167202
04-02-2016,46.71403503,142.1597137,9.959066391
05-02-2016,47.09382248,143.8127289,10.36968231
08-02-2016,46.86594772,142.5344086,10.17969704
09-02-2016,46.03041458,136.3190308,10.40032768
10-02-2016,44.73913193,138.3026886,10.30839539
11-02-2016,43.29592896,134.4897156,9.707788467
12-02-2016,41.0551796,133.4978638,9.64037323
15-02-2016,42.57432938,142.9311371,11.00093746
16-02-2016,42.80220413,140.1320038,10.96416187
17-02-2016,42.23251724,137.8839111,10.93964767
18-02-2016,42.57432938,139.9998322,10.89061832
19-02-2016,42.68826294,137.6414795,11.27059746
22-02-2016,42.99209976,138.3687897,11.3686552
23-02-2016,41.8527298,132.7265015,11.42381287
24-02-2016,42.53635025,130.1477966,11.36862373
25-02-2016,43.29592896,131.9771118,11.42515087
26-02-2016,42.460392,137.2888184,11.29796791
29-02-2016,43.06806183,137.0904541,11.50287056
01-03-2016,45.04296112,140.1099854,11.64418507
02-03-2016,46.03041458,137.0904541,11.86321735
03-03-2016,46.29626846,138.4569702,12.47086334
04-03-2016,45.7645607,143.3278656,12.59097862
08-03-2016,49.22063828,142.8429718,13.3540678
09-03-2016,48.8028717,142.1597137,13.14916897
10-03-2016,50.81575394,141.8070831,13.1632967
11-03-2016,50.777771,140.5728455,13.14916897
14-03-2016,49.37255096,143.0804901,13.3682003
15-03-2016,48.46105957,142.5741119,13.29047871
16-03-2016,48.99276733,142.5741119,13.15623188
17-03-2016,49.22063828,141.8989868,13.55897522
18-03-2016,49.67638397,143.5868378,13.86279869
21-03-2016,50.01819229,143.0322418,13.87692738
22-03-2016,49.52446747,141.9713135,14.23020744
23-03-2016,50.70181274,143.7073669,14.37858677
28-03-2016,49.22063828,141.5372772,13.90518951
29-03-2016,48.95478439,142.3329926,13.96877956
30-03-2016,50.20809174,143.1528015,14.41588783
31-03-2016,49.67638397,140.7898407,14.12757015
01-04-2016,49.82830048,138.402771,14.11315441
04-04-2016,50.85372543,137.4382782,14.14919376
05-04-2016,49.7143631,132.7364349,14.10594463
06-04-2016,49.37255096,132.9052124,14.64654255
07-04-2016,48.68893051,135.6298523,14.72582912
08-04-2016,49.7143631,134.8341675,14.69699669
11-04-2016,50.47393417,135.2440643,14.80511761
12-04-2016,49.29659653,132.3265228,14.54563236
13-04-2016,49.52446747,133.7973633,14.55284023
18-04-2016,49.2586174,133.0016632,14.39426231
20-04-2016,50.51192093,134.3760223,14.71862507
21-04-2016,51.3854332,138.7644196,14.72582912
22-04-2016,53.55023575,138.7885284,14.41588783
25-04-2016,55.2212944,138.8608551,14.20685863
26-04-2016,55.33523941,139.0296631,14.12036228
27-04-2016,55.06938553,140.2834625,14.23569012
28-04-2016,53.32235336,137.4624023,13.73834133
29-04-2016,52.67671204,138.9090729,13.71671963
02-05-2016,53.47426987,139.1984406,14.06270027
03-05-2016,53.62618637,134.617157,14.03386688
04-05-2016,52.7526741,135.0029602,13.44281578
05-05-2016,52.06905365,135.8950958,13.45002079
06-05-2016,51.80319977,135.9433136,13.42119312
09-05-2016,52.63874054,137.7276306,13.58697414
10-05-2016,52.56277847,137.3900757,13.35632133
11-05-2016,51.76523209,136.8595581,12.95267582
12-05-2016,52.44884491,136.8836975,13.07521343
13-05-2016,51.3854332,135.7263184,12.84455872
16-05-2016,49.44851303,136.4014435,12.90221882
17-05-2016,49.2586174,136.8836975,12.80851746
18-05-2016,50.58787155,136.9319153,13.34190559
19-05-2016,49.79032135,135.1717224,12.95267582
20-05-2016,49.44851303,134.5448456,13.20495129
23-05-2016,51.27149963,135.2682037,12.78689194
24-05-2016,50.891716,134.8100128,12.95267582
25-05-2016,51.46139145,135.5093231,13.10404205
26-05-2016,51.80319977,135.4370117,13.17612362
27-05-2016,51.84117889,135.6539612,13.3635273
30-05-2016,52.37288284,141.0791779,12.93825912
31-05-2016,50.20809174,140.5245972,12.7220211
01-06-2016,50.36000824,143.3216248,12.48415852
02-06-2016,50.54990387,148.2163086,12.44811916
03-06-2016,50.36000824,148.9879303,12.99592304
06-06-2016,50.13213348,147.4688568,13.00313091
07-06-2016,50.20809174,148.4333344,13.18332958
08-06-2016,51.5373497,147.9510651,13.05358696
09-06-2016,52.7526741,150.9409637,13.13287354
10-06-2016,52.25894928,147.8787537,13.21216202
13-06-2016,51.23351669,148.7708588,13.01033974
14-06-2016,51.80319977,148.9396973,13.12566471
15-06-2016,51.84117889,149.3737183,13.19053841
16-06-2016,52.82863235,148.3127747,13.43560791
17-06-2016,54.61362839,151.0374298,13.43560791
20-06-2016,54.61362839,150.627533,13.34190559
21-06-2016,55.52513123,150.9409637,13.26261616
22-06-2016,54.38576508,153.1110229,13.24099541
23-06-2016,54.61362839,153.1351471,13.19053841
24-06-2016,52.90458298,150.5792999,13.03196239
27-06-2016,53.85405731,148.5780029,13.05358696
28-06-2016,57.57600021,151.0856476,13.20495129
29-06-2016,59.17110062,149.9764709,13.5221014
